,영상제목
10976,대규모시리즈 시액 액시 시리즈액괴 액괴시리즈 첫영상 알고리즘 추천 시리즈 액괴 대규모실즈 대시액 대규모시리즈액괴
10977,스타트업 지분설계의 중요성과 스톡옵션 (with 회계사)
10978,GTA5 인성총으로 퍼시픽 정주행 해보자.
10979,GTA5 1500시간 유저의 구습격 켠왕
10980,최악인 액괴계의 빌런 유형 모음 / 시액 대시액 대규모시리즈 대규모시리즈액괴 액시 액괴 시리즈 시리즈액괴 슬라임 몽글 님 무영공 알고리즘 히트!
10981,❄겨울왕국2 시리즈 액괴❄ | 스포엄청많음 | 엘사 안나 올라프 크리스토프 스벤 브루니 | 마블링 액괴 액점 | 파란색보라색하얀색노란색갈색민트색 | 액체괴물 | 🎥5🎥
10982,007 역사상 역대급으로 잔혹하고 끔찍했던 시리즈 [결말포함|영화리뷰]
10983,[자막]  워썬더: 떡장전차 TOP 7
10984,갤럭시 A32 리뷰: 드디어 삼성이 가성비를 이해했어!! [4K]
10985,삼성 갤럭시 A 시리즈 진화 2014-2020
10986,🎥유튜브 볼때 공감❤/대시액/대규모 시리즈 액괴/시리즈 대규모/대귬실즈/대귬/시리즈/시액/액시/시리즈 액괴/액괴 시리즈/몽글님 무편집
10987,🌻 무미건조했던 내 여름방학 돌아보기 🤔 시리즈 액괴 액괴 시리즈 시액 소시액 소규모 시리즈 4개 시리즈 고딕 액시
10988,DEATH RIDES A HORSE | Da uomo a uomo | Lee Van Cleef | Full Western Movie | English | HD | 720p
10989,🍑 자주 보이는 알고리즘 관련 닉네임 💕 대규모시리즈액괴 시리즈액괴 시액 액시 대시액 대규모시리즈 대규모 시리즈 액괴 액괴시리즈 시리즈 대규모 대귬
10990,[워 썬더] 스탈린 전차 1944
10991,[자막]  워썬더: IS-6 상대하는 법!
10992,[워썬더] 20초마다 전차 삭제하는 14킬 소련 IS-2 플레이
10993,[자막]  워썬더: IS-2 대 티거 E형
10994,[워썬더] 122mm 중전차 IS-2 원샷원킬 모음집
10995,동갑 남자친구 반응보기 모음집 / 시액 / 소시액 / 시리즈액괴 / 액시
10996,🐶한 번 쯤은 봐 본 영어 이름🍎 대규모시리즈액괴 시리즈액괴 시액 액시 대시액 대규모시리즈 대규모 시리즈 액괴 액괴시리즈 대귬 시리즈
10997,최근에 있었던 웃긴일•시리즈액괴•소규모 시리즈•하엘님 영상💜
10998,어서오세요 A32와 A52 비교 영상입니다: )
10999,🤯 학교가기 10분 전에 일어났을 때 유형 🥲 시리즈액괴 시액 액시 액괴시리즈 시리즈액괴  액괴시리즈 대규모시리즈 대규모시리즈액괴 대시액추천 알고리즘 시리즈액괴 시리인뎅
11000,🐰 어짜피 덕질할거 행복하게 덕질하자 ❤️ 히트 떡상 액괴시리즈 시리즈액괴 소규모시리즈 소규모시리즈액괴 액괴시리즈소규모 소시액 액소시 시액 액시 아또시리즈
11001,💖핑크에 대한 모든것//시리즈액괴//시액//소규모시리즈//소규모//시리즈액괴//알고리즘아나히트치고싶어//설혜
11002,정원🌻 나폴리탄 시리즈액괴/나폴리탄 괴담/나폴리탄 시리즈/나폴리탄/나폴리탄 액괴/시액/액괴/실즈/시리즈/슬라임/밤떡
11003,✨ 시리즈 액괴 유튜버 공감 👍🏻 시액 액시 시리즈액괴 액괴시리즈 실즈 액실즈 실즈액괴 고딕실즈 대귬시리즈 고딕대귬실즈 공감실즈 슬라임 대규모실즈유튜버
11004,🌸 나애 최근 관심사 🐹 시리즈 액괴 액괴 시리즈 5개 시리즈 소규모 시리즈 액괴 송강 액괴
11005,🧐 호불호 갈리는 음식 모음 시리즈액괴 액괴시리즈 시액 액시 대규모시리즈액괴 대시액 몽글님 영상
11006,생일공감 대규모 시리즈 액괴 대시액 시리즈 액괴 시액 액괴 시리즈 액시 액괴 슬라임
11007,카톡 유형/시리즈 액괴/시액/액괴 시리즈/액시/오늘/첫영상/뽀까님/히트/대규모 시리즈💖
11008,"미국, 영국, 독일, 한국인이 서로의 '해장 음식'을 바꿔먹어본다면?"
11009,일본인 풍채보고 실망한 영국의 귀족 부인이 한국 방문한 후 충격에 휩싸여 던진 말
11010,영국인들이 말하는 '주마다 다른 영국 영어 억양 차이'?
11011,비트코인캐시/라이트코인 페이팔 미국에 이어 영국까지 가상화폐 서비스 시작!
11012,"‘위드 코로나’ 영국, ‘프리덤 데이’ 한 달 여전히 실험 중…치명률 0.05% 싱가포르, 새로운 일상으로 / KBS 2021.08.19."
11013,삼겹살에 치즈김치볶음밥 처음 먹어본 영국 고등학생들의 반응!?
11014,영국 고등학생들에게 불닭볶음면을 줘봤더니…?ㅎ🔥🥵 얘들아 미안…;;🚽
11015,미국인들한테 영국발음을 시키면 어떻게 될까?(미국인들 반응ㅋㅋㅋ)
11016,치맥을 처음 먹어본 영국 축구선수들의 반응?!
11017,음식에 귀천없다던 영국유명셰프 생방송중 일본음식에 바로 토한 이유
11018,"영국엔 아직도 신분제가 있다고!?😲 (feat.영알남님) | 역사, 세계사"
11019,"대영제국 탄생! 스코틀랜드와 잉글랜드, 한 나라가 되다 (영국 9편) [동글동글 세계사]"
11020,"박지성, 맨유 현지팬들의 솔직한 평가(정말 예상치 못한 대답들..)"
11021,🇬🇧영국 학벌주의에 대한 영국인들의 솔직한 생각 (ft. 해리포터)
11022,이삭토스트를 처음 먹어본 영국인들의 반응??!!
11023,외국인들은 정말 튀김우동을 매워할까?!
11024,높은 임금 때문에 세계 최강 나라가 됐다고?
11025,한국 부대찌개를 처음 먹어본 영국 군인들의 반응!?!
11026,영국에 나라가 4개나 되는 이유 | 개꿀잼 세계사  | 역사 | 영국역사
11027,영국에서 버거먹다가 불체자로 의심받고 경찰한테 신분증 털린날 | 인종차별 아닌.. 거..죠?
11028,"[재도전 문화 확산 프로젝트 EP01] 100억 원의 빚, 집닥 박성민의 재창업기"
11029,굶주린 북한 군인이 무제한 배달 주문을 하면 생기는 일
11030,"천상계 개발자들이 바라보는 코딩 광풍 (feat. 잔디, 콴다, 버즈빌)"
11031,[와이즈맨] 왜 영국은 월드컵⚽에 네 나라로 쪼개서 출전할까?🤷‍♂️ / YTN
11032,※런던 현지인 반응※ 런던 길거리를 토트넘 손흥민이 걸어다닌다면? (역시 월클⭐️)ㅣ#손세이셔널 EP1 #03
11033,[미국 유학] 졸업 후 취업 잘되는 미국 유학 전공과 유학 방법
11034,"""2년간 박재범과 음악했어"" 한국에 적응 못해 미국가서 유명한 힙합가수가 된 한국남자 l 미국#14"
11035,난생 처음 먹어본 1++ 한우에 놀란 미국인 엄마
11036,"일본의 군대 장군이 방송 도중에 한국 언급하고 폭발해버린 현상황 ""한국 국방부 창고에는 대체 뭐가 있나"""
11037,"확 푼 영국, 조금씩 연 싱가포르…한국형 '위드 코로나'는? / JTBC 뉴스룸"
11038,'일일 확진 4만 명' 영국…'10월 방역 규제 도입설' / SBS
11039,"미국 연예인들의 영국 영어 따라하기,영국인 반응은? +아리아나 그란데, 저스틴 비버, 카밀라 카베요"
11040,"영국리그 1위 만든 손흥민, 중계카메라에 잡힌 '한 장면' 때문에 영국전역을 감동시킨 이유"
11041,한국음식을 먹어본 어벤져스 배우들의 반응?! (실화)
11042,한국인들이 영국 상류층 마트에 가면 놀라는 이유
11043,영국과 한국의 여행 문화 차이는? (+ 대박 이쁜 제주도 슬로우로드 투어!) 🇬🇧🇰🇷🌊☀️
11044,🇰🇷🇬🇧영국봉쇄중 프로포즈 받은 날💍 + 비하인드 스토리(feat.어바웃타임)
11045,"💀 유대인과 아랍인, 싸우게 된 이유 / 💀 이스라엘-팔레스타인 관계의 시작"
11046,"[글로벌K] ‘위드 코로나’ 실험장 영국, ‘프리덤 데이’ 한 달 성과는? / KBS 2021.08.20."
11047,이삭토스트를 처음 먹어본 영국인들의 반응??!!
11048,영국 중딩이 한국 미용실에서 변신한 거 실화냐?!  영국 중딩의 한국 여행 즐기기 시리즈 21편!
11049,세계테마기행 - 영국 프랑스 문명기행 1부 대영제국을 걷다_#001
11050,미국 스팸 본사도 인정한 한국의 부대찌개(?) 미국 해병대의 반응
11051,현재 소름돋는다고 난리난 영국남자와 국가비의 사과영상(거짓 사과에 가짜 핑계까지?!ㄷㄷ)
11052,편의점 꿀조합을 처음 먹어본 영국 고등학생들의 반응!? (ft.짜파구리 마크정식)
11053,한국 부대찌개를 처음 먹어본 영국 군인들의 반응!?!
11054,만약에 한국이 영국의 식민지였다면?_[센서 스튜디오]
11055,넷플릭스 결제했으면 무조건 봐야하는 레전드 드라마 1위..
11056,[단독] 영국 런던에서 태극문양 발견!! 충격적인 진실에 전세계가 난리난 이유
11057,영국 항모 방한…미국·중국 인도 태평양 패권 전쟁 / KBS 2021.09.02.
11058,영국 여행에 대한 거의 모든 것
11059,"덴마크, 코로나 제한조치 전면 해제…‘위드 코로나’ 영국, 하루 3만 명 확진 / KBS 2021.08.30."
11060,누구도 날 방해 못 해...🎻 귀족 빙의되는 클래식 음악🎹 [motemote│모트모트│𝐒𝐓𝐔𝐃𝐘 𝐌𝐎𝐎𝐃│공부할 때 듣는 음악│1시간]
11061,한우 + 치즈 조합 처음 먹어보고 영국 못 갈 뻔한 데이비드 베컴?!🤭 (형님 푸파셨군요..!!😍)
11062,"""한국은 선진국인데 책임안지나?"" 영국에서 한국 비난했다가 최소3개국 동시폭발해 역관광 당하는 영국상황 ""뜻밖의 모르는 사실들 폭로되며 대반전"""
11063,한국 치맥+떡볶이 콤보에 반해버린 스파이더맨 베프 네드!!?
11064,"영국, 미국, 호주인들은 서로의 영어에 대해 어떻게 생각할까?! (※전쟁주의※ㅋㅋㅋ)"
11065,약빨고 love yourself 영국발음으로 읽깈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
11066,영국 래퍼들이 한국 육회 + 꽃등심 + 삼겹살 + 냉면 먹었더니 반응이!? ㅋㅋㅋ
11067,"확연하게 달라진 한국 위상, 영국 한국은 동반자. 한국 선진국 중 최초 금리인상에 서구선진국들 일제히 한국 주시."
11068,영국 왕실 근위병에 관한 재미있는 사실들
11069,영국 BBC기자에 의해 밝혀진 일본의 문란한 섬에 전 세계가 경악한 이유
11070,영국사람들도 놀란 봉준호감독이 선택한 새로운 통역사의 고급진 영국발음
11071,"5년차 국제커플 Q&A_1탄💭한국vs영국 양치법 논란,결혼/자녀 계획, 서로 불만인 점 폭로, MBTI, 첫인상"
11072,[이슈톡] 우주선 닮은 숙박시설…영국 공원에 등장 (2021.09.08/뉴스투데이/MBC)
11073,한국 분식을 처음 먹어본 영국 고등학생들의 반응?!
11074,흔한 한국 과자를 먹어보고 깜짝 놀란 영국 중학생들의 반응?!
11075,영국에 한국 분식집 생겼는데 현지인들 줄서고 난리남!!🤭
11076,영국의 BBC 방송에서 성적 안좋은 학생들을 한국 고등학교에 보내놓고 변화를 관찰하자 영국 전체가 사색이 되어 말을 잃은 이유
11077,"영국 공원에 등장한 UFO…""숙박도 가능해요"" / SBS / 생생지구촌"
11078,영국 역사 총정리 1편 : 영국이 4개로 나뉜 이유부터 백년전쟁까지
11079,[영국 역사 요약] 세계를 제패한 해양제국! 영국의 흥망성쇠 18분 총정리(History of the United Kingdom)
11080,영국수송기 내부모습 사진이 공개되자 전세계가 한국이 옳았다며 경악한 상황
11081,"[단독해외반응] 한국 23% vs 영국 85% , ""한국인들은 정말 미쳤다...!!"""
11082,외국인들은 모르는 영국 집에 대한 사실 18가지
11083,[영국 VLOG] 노팅힐을 아시나요? 💙
11084,"영국, 코로나19 정복한다며 '고의 감염 인체 실험' / YTN"
11085,[속보] 영국 정부 2032년 일본 침몰 공식 발표!!!  지금 도쿄올림픽이 중요한게 아니다  비상사태 선포한 일본 정부
11086,영국의 홍차 문화는 어떻게 시작됐을까? / 티 스토리 / History of tea in Britain / 英国の紅茶文化の始まり #홍차언니 #한국티소믈리에연구원
11087,영국 조지 왕자의 화제의 잠옷 접대! (귀여워 -///-♥) 비정상회담 175회
11088,🇬🇧영국교포 영국영어 꿀팁 | 카페에서 인사하는 법 ☕ | 영국 표현 원어민 영국발음
11089,"현대중공업,  핵잠수함 건조에 달인 영국 밥콕사와 항공모함 전격협력~!!"
11090,[티비냥] 영국 윌리엄 왕자랑 같이 럭비 하는 사이 실화임?! 마!! 이것이 우리나라 상위 0.1퍼센트의 삶이다!! | #문제적남자
11091,영국 임산부가 한국 병원에 갔다가 감동받고 눈물 흘린 이유
11092,"130년 전 전쟁서 영국 이등병 목숨 살린 수첩, 경매 나와 / SBS"
11093,F-35B 5초 만에 이륙…동해에 뜬 영국 항공모함 (2021.09.03/뉴스투데이/MBC)
11094,영국브이로그 6화 : 역대급 생일을 갱신하고 왔습니다 Feat. 브라이튼 & 세븐시스터즈 당일치기 여행
11095,"[생활의달인] 서울 송파구, 영국 가정식의 달인 / 'Little Big Masters' Review"
11096,"논란 있었지만…영국, ‘코로나 고의감염’ 결과 곧 발표 예정 / KBS 2021.09.06."
11097,"🇬🇧바이킹부터 기사도까지 [영국 역사 몰아보기] | 라스트킹덤, 더킹, 브러저튼, 튜더스"
11098,연쇄살인마 잭 더 리퍼(Jack the Ripper) 배후엔 영국 왕실이 있었다? | 당혹사 감독판2 EP.02
11099,"F-35B, 단 5초 만에 떴다…한국 온 영국 항모 '퀸 엘리자베스' / JTBC 뉴스룸"
11100,한국 특공대에서 훈련받는 영국 특공대 찰스 소령님 + 영국 신부님?!?! (이게 기초훈련이라고요…?!)
11101,영국남자 엄마가 밝히는 한국에 대한 솔직한 소감...?
11102,"확연하게 달라진 한국 위상, 영국 한국은 동반자. 한국 선진국 중 최초 금리인상에 서구선진국들 일제히 한국 주시."
11103,"🇬🇧영국에서 취직했어요! 취업후기, 과정, 해외취업 팁(말 많음 주의)"
11104,"델타 변이에 무너진 이스라엘·영국…""집단면역 불가능"" (2021.08.11/뉴스데스크/MBC)"
11105,한국과 영국의 등교 풍경은?!
11106,"[비정상회담][100-1] 원어민 영어 발음 비교! 영국 VS 미국 VS 호주(와,,멋짐 폭발이다,,♥) (Abnormal Summit)"
11107,영국항모로 확인한 경항모는 호위항모이지 공격능력은 없어  정규항모로 가야 함
11108,"안녕하세요. 영국 주부로 새롭게 인사드립니다. 나의 캠브리지 생활 적응기, 케임브리지 대학교 킹스 칼리지 투어, 주부 일상 브이로그, 국제 이주, 유럽랜선여행"
11109,"영국에서 영국사람에게 직접 배운 겉바속촉 인생스콘, 스콘 만들기 How to make perfect Scones| 하다앳홈"
11110,"[국제커플/소개영상] 전 이종격투기 선수, 현 영국 군인 남자친구 차니를 소개합니다! | 2년째 연애중 어쩌다보니 세계 6개국 여행, 비행기만 20번 | 한영커플/한국영국커플"
11111,"[🇬🇧#53]다시 영국, 신혼부부 일상, 커플 앞치마, 한국에서 공수해 온 밥솥🍚"
11112,"[외신반응] 현재 영국 외신이 무리뉴보다 누누가 손흥민을 높게 평가한다는 이유, ""손흥민 진화의 완성은 크리스티안 호날두가 된다"""
11113,VLOG🎬 유럽여행! 영국이랑 스페인에서 먹고 쇼핑하고🛍 In London & Barcelona 🇬🇧🇪🇸
11114,이것은 모두 영국아빠 때문이에요..😢 | 한국 영국 국제가족의 한국 방문기 ep.3
11115,위조지폐 만들어 영국 붕괴시키려던 독일 클라스 ㄷㄷ | 그재무지
11116,땡볕에서 트럼프 기다린 '92세 여왕'…영국 시민 뿔났다 / SBS
11117,[실제상황] 영국 여왕이 자신의 생일마다 한국의 이것을 먹는 뜻밖의 이유
11118,"[글로벌K] 영국, 코로나19에 반려견 절도 급증…처벌 강화 / KBS 2021.09.06."
11119,영국브이로그 2화 : 1년간 머무를 집을 찾다가 울뻔했습니다...ㅜㅜ
11120,유해석 박사의 이슬람 특강 - 영국의 브렉시트와 이슬람에 대한 관계?
11121,"대영제국 탄생! 스코틀랜드와 잉글랜드, 한 나라가 되다 (영국 9편) [동글동글 세계사]"
11122,"망해가던 영국의 어촌마을이 한국때문에 되살아나자, 항공모함을 선물로 주게될 현재상황"
11123,아내에게 한국 배달문화 소개하다가 로맨틱해진 영국 신부님!?
11124,일본의 끝없는 배신에 미국과 영국마저 일본은 손절하고 한국과 손 잡으려는 충격적인 이유 / 영국이 일본은 못 믿겠다며 한국에게 자신들의 기술을 전수하려는 이유
11125,영국이 무서워했던 독일의 전쟁해군 {하츠 오브 아이언4}
11126,망해가던 영국의 한 마을이 한국때문에 돈벼락 맞은 이유
11127,영국이 거문도를 점령했었던 이유!!
11128,태어나서 바나나우유를 처음 먹어본 영국 아기의 반응!?!😍
11129,Eng) 국제커플🇬🇧 영국 군인의 결혼식 브이로그💂‍♀️에 초대되었습니다 📩 (차니 형이 결혼해요!)
11130,영국 런던 현지 의류모델과 영국식으로 데이트 했습니다. 명품선물도 받았어요. l 세계일주#85
11131,골뱅이 무침에 소맥 먹어본 영국 대학생들 반응은?! (드디어 영국에도 한국 술집 생겼다!!)
11132,한국 경항모의 롤모델인 영국의 퀸엘리자베스 항모에 사출기 탑재
11133,영국에서 난리난 한국치킨을 먹으려고 드디어 재회한 영국쌍둥이!! (신부님+소령님)
11134,한.영 동해 연합훈련중인 영국의 퀸 엘리자베스함 전격분석 2부 #소닉PD #김대영군사평론가 #F-35B #해리어 #독도함 #충무공이순신함
11135,한국인 모녀를 감당하기 힘든 영국남자의 모먼트 ㅋㅋㅋㅋ | 한영 국제커플 가족 해외생활 브이로그 | 카타르
11136,그동안의 올리 이야기
11137,[안녕하세요＃레전드＃181] 이 편지는 영국에서 최초로 시작되어...13살 딸의 편지! | KBS 180813 방송
11138,영국 이코노미스트가 선정한 2021 세계에서 가장 안전한 도시 Top 10
11139,[이슈톡] 양심은 어디로…영국 축제 후 '텐트 쓰레기' 쌓여 (2021.09.03/뉴스투데이/MBC)
11140,[나혼자산다 in London] 🎵바쁘다 바빠 영국 자취생(?)의 하루~🎵 VLOG
11141,영국과 네덜란드의 영해국경 전쟁 [신과함께 스페셜 - 최준영 박사의 바다이야기]
11142,홀로 한국에 있는 아빠의 일상 사진을 본 영국 아이들의 반응은?
11143,한국 꽃등심을 처음 먹어본 영국 축구선수들의 반응?!
11144,"[실제영상] 생방송중 영국 앵커가 단독으로 한국 아프가니스탄인과 인터뷰 공개하자 전세계가 한국 극찬한 상황 해외반응 ""일본은 후진국이다"""
11145,유럽 왕실에서 유행하는 한국상품 영국도 스웨덴도 공수하기 위해 파격 행보 한국 농협까지 찾아간 영국 왕자
11146,[이슈톡] 아프간에 직원 두고…동물 구한 영국 활동가 (2021.09.01/뉴스투데이/MBC)
11147,영국 한복판에서 욱일기 식당 차리고 항의하는 한국인들 내쫏은 일본인 셰프가 며칠 후에 오열하며 급공손해진 이유
11148,"""이래야 런던이지""…영국, 100일만에 봉쇄완화 모처럼 활기     / 연합뉴스 (Yonhapnews)"
11149,왜 영국 국기를 유니언잭이라고 부를까
11150,영국장미 판매 하는곳.가격.구입방법.팁
11151,"영국 역사 1부 - 잉글랜드, 스코틀랜드, 웨일즈의 탄생  [동글동글 세계사]"
11152,※혈압주의※ 영국 BBC가 만든 계란 볶음밥에 전 세계 아시아인이 분노했다/스브스뉴스
11153,중국 핵잠수함의 치명적 단점.. 영국함대는 중국핵잠을 어떻게 탐지해 냈을까??
11154,[영국: 필립] (1/3) [이웃집 찰스] 20200331
11155,영국 간 이유? '미션 임파서블: 폴아웃' 챌린지 Mission Impossible Challenge
11156,✈️💤 영국발 항공편 기내 1등석에서 숙면하세요! 수면을 돕는 9시간 비행기 백색소음 with 5개국 상공을 지나가는 무착륙 국제관광비행 테마 (기상 안내방송 1회 有)
11157,🇬🇧영화[포 페더스]로 보는 영국 기사도 교육의 진실ㅣ영국 역사
11158,영국 왕실 서열에 대해 몰랐던 10가지 사실들
11159,교복 입고 한국 중학교를 처음 다녀본 영국남자!?!
11160,영국 엘리자베스 여왕 남편 필립공 사망에 스페인 왕가가 눈물을 흘린다 | 스페인 왕가 | 영국 왕가| 유럽 왕가
11161,[월드줌인] 귀네스 팰트로도 극찬…영국서 부는 '김치 열풍' 왜? / 연합뉴스TV (YonhapnewsTV)
11162,최근 영국에서 한국인 대우가 달라진 이유ㄷㄷ
11163,‘10년 뒤 한국 경항모 미래’ 영국 항모 다녀오다 I #박용한 배틀그라운드
11164,"손흥민 VS 방탄소년단 RM, 사실은 영국발음이라고?? (RM,Son | ENGSUB | 영어공부)"
11165,영국인도 인정한 한국어와 영국 영어의 가장 큰 공통점? [ENG CC] 진저영어 영국
11166,1년동안 외식 못한 영국신사가 4년만에 한국치킨을 먹어보는 순간...!! (feat. 로제 떡볶이)
11167,"영국 9월 말 백신여권 도입…""추가 봉쇄 막을 방안"" / JTBC 아침&"
11168,한국에서 20년 지낸 영국 기자가 말하는 한국인 l 내가 한국에서 평생 살기로 결심한 이유 l 세상에 또 이런 나라 없어요 한국 최고
11169,"영국 유학시 꼭 알아야 할 생활 꿀팁 ✨// (feat. 핸드폰 개통, 앱 추천, 브렉시트)"
11170,한국 산지 21년 된 영국인이 말하는 한국이 영국보다 10년 앞서있다는 이유
11171,10회 (영국) 하원의원선거 [세계 민주주의를 만나다]
11172,[노컷 밀리터리] 동해에 나타난 '영국 여왕'…한·영 연합훈련 완수
11173,드.디.어. 영국에 한국 치킨 브랜드가 상륙했습니다!!! (32년 기달렸습니다)
11174,제국주의의 끈을 놓지 않으려는 영국과 프랑스의 마지막 몸부림? 수에즈 위기!
11175,소박한 영국 길거리 음식 체험기 【유라시아110】
11176,영국 항모전단장이 트위터에 올린글에 한글이 써있자 영일동맹은 깨졌다며 일본이 발칵 뒤집힌 상황 / “왜 우리는 그곳에 없는것이냐” 제대로 열등감 드러낸 일본 네티즌 [잡식왕]
11177,🇬🇧영국인과 영국식 Pub 토크  [영국인에게 여왕님이란?] (ft. 피쉬앤칩스)
11178,영국 중딩과 비빔밥의 첫만남?! 영국 중딩의 한국 여행 즐기기 시리즈 1편!
11179,"""한국은 세계 2위로 무섭게 치솟는데!"" 영국의 글로벌 분석기관이 발표한 세계순위로 인해 화들짝 놀란 일본상황"
11180,[도쿄올림픽 여농 최종예선] 대한민국 vs 영국 H/L (02.08)
11181,영국 왕실에서 가져오라고 난리난 한국의 '이것'을 본 영국인의 반응
11182,영국대학 합격하는 자기소개서 작성법 // (feat.런던정경대 LSE)
11183,나치 독일의 영국 대공습
11184,최근 영국 혼혈이 한국인 피가 흐르는 것이 축복이라고 말하는 이유
11185,영국 VS 미국 비교해봤습니다 - 사실상 아무말 페스티벌 [극과극] + 구독자 이벤트
11186,*개그 주의* 독설 많이 하기로 유명한 영국 영화 시상식 BAFTA 시상 블랙 개그 BY 레벨 윌슨 (한글 자막)
11187,세계주식일주]영국증시 - 아스트라제네카 백신말고 주식 사기!
11188,[비정상회담][104-2] 영국이 유로화를 쓰지 않고 파운드화를 사용한 이유? (Abnormal Summit)
11189,[내부행사] 탄소중립 세미나 : 영국의 기후변화대응 성과와 탄소중립 이행방안 - 영국사례를 통해 보는 탄소중립 방향성
11190,한국 정도면 유토피아다?! 눈물 없인 듣기 힘든 영국 집값 수준 | #외계통신 #사피엔스
11191,영국 래퍼들이 한국 육회 + 꽃등심 + 삼겹살 + 냉면 먹었더니 반응이!? ㅋㅋㅋ
11192,김태훈 칼럼니스트 #03 | 젊은 영국밴드 비틀즈가 미국 기성세대에게도 사랑받은 이유 | #어쩌다어른 #사피엔스 | CJ ENM 170510 방송
11193,영국맘이 한국 맘스터치 먹어보면?!? (Feat. 엄마의손맛?)
11194,"2014년 전세계를 열광시킨 영국 왕따 소년의 오디션 , Bars & Melody - Hopeful    [Britain's Got Talent]"
11195,"두가지 사건, 세계가 경악한 영국에서 벌어지고 긴급사태 속에서 일본을 충격으로 몰아넣은"
11196,200년 전 영국 소녀들의 워너비 직업ㅣ19세기 커리어우먼 '메이드'
11197,꽈배기 사랑에 빠진 영국남자 (근데 매운도넛 박살 사건!?)
11198,"영국 해병대 해상침투 시범 Navy Assault in Human Flight, Gravity, UK"
11199,[슈퍼윙스 시즌4] 제15화 트랙터 축구 (영국 편)
11200,해상풍력으로 떠나는 랜선~ 영국여행~ | 감이슈 한국판 뉴딜 WHY?
11201,🇬🇧 영국 초콜릿 🍫 과자 🍪 리뷰  GH5 | 4K
11202,"[영국Vlog🇬🇧] 여름 영상 탈탈 털어 만든 런던 브이로그 🍑 British Library, 공부, 납작복숭아, 런던 여름 끝자락, 마라샹궈, 런던일상, 영국브이로그"
11203,100년 전쟁에 관한 개꿀잼 세계사! ｜세계사｜영국 역사｜100년 전쟁｜프랑스 역사
11204,영국 왕실 필립공 별세 - BBC News 코리아
11205,영국랜선여행 | 넷플릭스 브리저튼 헤이스팅스공작의 실제모델? 30살 15조재산 공작은 누구?
11206,인생 첫 한국 음식먹고 이민 결정한 영국 대학생들?!? (요리 10개 클리어 실화?!)
11207,가짜 사나이 이근 대위가 파괴해버린 영국 서바이벌 프로그램 (스페셜 포스: 지옥주)
11208,영국갔으면 손흥민은 못 참지+_+ 직접 만나러 출발~ #으라차차만수로  KBS 190628 방송
11209,영국 현지 유망주 vs 한국 축구 유망주가 붙으면 누가 이길까?? 영국팀 코치들 놀라서 입을 못 다묾...l 신의 한 수 : 신태용의 방과 후 트릭 l EP.18 l 슛포러브
11210,[EP.5] 영국에서 카드만들기 l 어디 은행 사용해야할까? l 영국은행 정보 l Bank Information l Creating Debit card
11211,영국 한인타운의 소주가격은?!?
11212,영국 왕실 그들이 사는 법! 영국 왕실 규칙 TOP 10
11213,"최고의 ""스태미나 요리"" 양념 장어구이를 처음 먹어본 영국 부부의 반응 (효과최고?!ㅋㅋ)"
11214,한국에서 온 엄청난 선물을 받은 영국 가족의 반응
11215,"💀 영국vs아르헨티나 영혼의 맞다이...!! / 💀 포클랜드 전쟁이 일어난 이유, 그 결과"
11216,무한리필 한우가 2만원?! 먹어보고 멘붕온 영국남자들😱
11217,"해피 뉴 이어 From. 영국_켄싱턴 궁전, 토트넘 축구, 요크의 클리포드 타워 성벽, 쉠블즈 거리"
11218,"산업혁명, 역사 노래, 중3 역사, 영국혁명 I 열공뮤직"
11219,미국영어VS영국영어 최종판!! [FEAT.졸리(영국남자)] Ultimate British English VS US English Comparison
11220,[현지연결] 영국 정부 유럽 슈퍼리그 초강경 대응. 손흥민 등 외국인 선수 금지 움직임
11221,북아일랜드가 영국 땅이 된 진짜 이유!!
11222,[토크멘터리 전쟁史] 150부 영국내전 II
11223,영국 왕실의 신데렐라 케이트 미들턴에 대한 재미있는 이야기
11224,"""동굴에서 나온 기분""...일상 복귀 속도 내는 영국 / YTN"
11225,북아일랜드 분쟁? 북아일랜드는 왜 영국땅이 되었을까? - 아일랜드 역사 4편 [동글동글 세계사]
11226,"영국 최초  K-POP 그룹 ""가치"" a.k.a 블랙핑크"
11227,아일랜드가 영국보다 잘 살게 된 이유!! (아일랜드의 초고속 경제성장)
11228,영국이모와 비싼 한국 소고기덮밥의 첫 만남?! 영국 중딩의 한국 여행 즐기기 시리즈 18편!
11229,전이란 걸 처음 만난 영국 중딩!? 영국 중딩의 한국 여행 즐기기 시리즈 13편!
11230,"영국 신사들의 정통 이발소, 206년 전통의 '트루핏앤힐' (KBS_2011.12.27 방송)"
11231,한식 뷔페에서 천국을 찾아버린 영국 중딩?! 영국 중딩의 한국 여행 즐기기 시리즈 9편!
11232,[중등 사회 1] 9. 정치 생활과 민주주의 - 영국 의원내각제의 시작은 어떠했을까?
11233,ASMR 영국 도서관에서 공부하기●집중력↑ 런던 도서관 백색소음 입체음향 | British Library Study & Work Ambience
11234,영국브이로그 5화 : 대영박물관에서 미라를 만났습니다 | The British Museum | Ippudo
11235,[토크멘터리 전쟁史] 152부 영국내전 IV - 왕위 계승 전투
11236,한국 휴게소 음식을 먹어보고 깜놀한 영국중딩의 반응?! 영국 중딩의 한국 여행 즐기기 시리즈 17편!
